Name,Simon,,
Session,3,,
Date,4/15/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,12:02:00 PM,,
range of motion,12:03:00 PM,,
baseline,12:08:00 PM,,
FAR #1,12:10:00 PM,0:01:50,1
SAR #1,12:12:00 PM,0:04:35,1
SR #1,12:14:00 PM,0:06:48,1
FAR #2,12:17:00 PM,0:09:20,1
SAR #2,12:19:00 PM,0:11:08,1
SR #2,12:20:00 PM,0:12:40,1
FAR #3,12:23:00 PM,0:13:02,1
SAR #3,12:24:00 PM,0:14:40,1
SR #3,12:26:00 PM,0:16:20,1
survey,12:28:00 PM,0:26:30,1
range of motion,12:30:00 PM,,
