Name,Paniz,,
Session,11,,
Date,5/13/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,2:00:00 PM,,
range of motion,2:03:00 PM,,
baseline,2:11:00 PM,,
Exr #1,2:13:00 PM,0:02:07,1
AbR #1,2:15:00 PM,00:03:55,1
MxdPr #1,2:17:00 PM,0:05:50,1
MxdCr #1,2:18:00 PM,0:07:30,1
ExR #2,2:20:00 PM,0:09:24,1
AbR #2,2:22:00 PM,0:11:11,1
MxdPr #2,2:23:00 PM,0:12:46,1
MxdCr #2,2:25:00 PM,0:14:40,1
FAR #1,2:29:00 PM,0:18:30,1
SAR #1,2:31:00 PM,0:19:54,1
SR #1,2:32:00 PM,0:21:19,1
FAR #2,2:34:00 PM,0:23:11,1
SAR #2,2:36:00 PM,0:24:45,1
SR #2,2:38:00 PM,0:26:41,1
survey,2:40:00 PM,0:29:05,1
range of motion,2:44:00 PM,,
