Name,Kai,,
Session,5,,
Date,4/22/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,3:01:00 PM,,
range of motion,3:03:00 PM,,
baseline,3:08:00 PM,,
FAR #1,3:09:00 PM,0:01:42,1
SAR #1,3:11:00 PM,0:03:23,1
SR #1,3:12:00 PM,0:04:51,1
FAR #2,3:15:00 PM,0:07:30,1
SAR #2,3:17:00 PM,0:09:02,1
SR #2,3:18:00 PM,0:10:32,1
FAR #3,3:22:00 PM,0:14:04,1
SAR #3,3:23:00 PM,0:15:46,1
SR #3,3:25:00 PM,0:17:16,1
survey,3:27:00 PM,0:20:30,1
range of motion,3:32:00 PM,,
