Name,Kai,,
Session,2,,
Date,4/10/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,2:00:00 PM,,
range of motion,1:50:00 PM,,
baseline,2:10:00 PM,,
FAR #1,2:12:00 PM,0:01:40,1
SAR #1,2:15:00 PM,0:04:41,1
SR #1,2:17:00 PM,0:06:32,1
FAR #2,2:19:00 PM,0:09:18,1
SAR #2,2:21:00 PM,0:11:13,1
SR #2,2:23:00 PM,0:12:45,1
FAR #3,2:26:00 PM,0:15:29,1
SAR #3,2:28:00 PM,0:17:55,1
SR #3,2:30:00 PM,0:20:08,1
survey,2:33:00 PM,0:23:00,1
range of motion,2:37:00 PM,,
