Name,Tyler,,
Session,8,,
Date,5/1/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,10:31:00 AM,,
range of motion,10:33:00 AM,,
baseline,10:39:00 AM,,
Exr #1,10:41:00 AM,0:01:55,1
AbR #1,10:42:00 AM,0:03:36,1
MxdPr #1,10:44:00 AM,0:05:12,1
MxdCr #1,10:46:00 AM,0:06:50,1
ExR #2,10:48:00 AM,0:08:49,1
AbR #2,10:49:00 AM,0:10:32,1
MxdPr #2,10:51:00 AM,0:12:14,1
MxdCr #2,10:52:00 AM,0:13:43,1
FAR #1,10:57:00 AM,0:18:05,1
SAR #1,10:59:00 AM,0:19:50,1
SR #1,11:00:00 AM,0:21:20,1
FAR #2,11:03:00 AM,0:23:50,1
SAR #2,11:04:00 AM,0:25:30,1
SR #2,11:06:00 AM,0:27:00,1
survey,11:08:00 AM,0:29:20,1
range of motion,11:11:00 AM,,
