Name,Kai,,
Session,8,,
Date,5/1/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,2:04:00 PM,,
range of motion,2:06:00 PM,,
baseline,2:11:00 PM,,
Exr #1,2:14:00 PM,0:02:10,1
AbR #1,2:16:00 PM,0:04:20,1
MxdPr #1,2:17:00 PM,0:05:52,1
MxdCr #1,2:19:00 PM,0:07:36,1
ExR #2,2:21:00 PM,0:09:29,1
AbR #2,2:23:00 PM,0:11:09,1
MxdPr #2,2:26:00 PM,0:13:19,1
MxdCr #2,2:25:00 PM,0:14:59,1
FAR #1,2:29:00 PM,0:17:41,1
SAR #1,2:31:00 PM,0:19:07,1
SR #1,2:32:00 PM,0:20:43,1
FAR #2,2:38:00 PM,0:26:25,1
SAR #2,2:39:00 PM,0:27:49,1
SR #2,2:42:00 PM,0:30:03,1
survey,2:46:00 PM,0:35:00,1
range of motion,2:52:00 PM,,
