Name,Tyler,,
Session,12,,
Date,5/15/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,10:39:00 AM,,
range of motion,10:40:00 AM,,
baseline,10:45:00 AM,,
Exr #1,10:47:00 AM,0:01:38,1
AbR #1,10:49:00 AM,0:03:37,1
MxdPr #1,10:50:00 AM,0:05:26,1
MxdCr #1,10:52:00 AM,0:07:11,1
ExR #2,10:54:00 AM,0:09:05,1
AbR #2,10:56:00 AM,0:10:45,1
MxdPr #2,10:57:00 AM,0:12:20,1
MxdCr #2,10:59:00 AM,0:14:03,1
FAR #1,11:02:00 AM,0:16:54,1
SAR #1,11:03:00 AM,0:18:22,1
SR #1,11:05:00 AM,0:20:05,1
FAR #2,11:07:00 AM,0:22:14,1
SAR #2,11:09:00 AM,0:23:46,1
SR #2,11:12:00 AM,0:26:19,1
survey,11:14:00 AM,0:28:40,1
exit survey,11:18:00 AM,0:32:33,1
range of motion,11:23:00 AM,,
