Name,Simon,,
Session,12,,
Date,5/15/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,12:14:00 PM,,
range of motion,12:16:00 PM,,
baseline,12:21:00 PM,,
Exr #1,12:23:00 PM,0:01:45,1
AbR #1,12:25:00 PM,0:03:46,1
MxdPr #1,12:26:00 PM,0:05:29,1
MxdCr #1,12:28:00 PM,0:07:16,1
ExR #2,12:31:00 PM,0:09:50,1
AbR #2,12:33:00 PM,0:11:35,1
MxdPr #2,12:35:00 PM,0:13:50,1
MxdCr #2,12:36:00 PM,0:15:30,1
FAR #1,12:38:00 PM,0:17:18,1
SAR #1,12:40:00 PM,0:18:45,1
SR #1,12:41:00 PM,0:20:13,1
FAR #2,12:43:00 PM,0:22:04,1
SAR #2,12:44:00 PM,0:23:48,1
SR #2,12:46:00 PM,0:24:50,1
survey,12:48:00 PM,0:26:57,1
exit survey,12:50:00 PM,0:29:05,1
range of motion,12:59:00 PM,,
