Name,Bailey,,
Session,7,,
Date,4/29/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,1:01:00 PM,,
range of motion,1:05:00 PM,,
baseline,1:10:00 PM,,
Exr #1,1:12:00 PM,0:02:23,1
AbR #1,1:14:00 PM,0:04:30,1
MxdPr #1,1:16:00 PM,0:06:27,1
MxdCr #1,1:18:00 PM,0:08:23,1
ExR #2,1:20:00 PM,0:10:41,1
AbR #2,1:22:00 PM,0:12:21,1
MxdPr #2,1:24:00 PM,0:14:09,1
MxdCr #2,1:25:00 PM,0:15:43,1
FAR #1,1:28:00 PM,0:17:56,1
SAR #1,1:30:00 PM,0:19:52,1
SR #1,1:31:00 PM,0:21:14,1
FAR #2,1:34:00 PM,0:24:08,1
SAR #2,1:35:00 PM,0:25:33,1
SR #2,1:37:00 PM,0:27:22,1
survey,1:40:00 PM,0:29:50,1
range of motion,1:43:00 PM,,
