Name,Simon,,
Session,6,,
Date,4/24/19,,
Number of recordings,1,,
,global time,GSR time,Recording number if more than 1
heart rate,12:17:00 PM,,
range of motion,12:18:00 PM,,
baseline,12:24:00 PM,,
FAR #1,12:25:00 PM,0:01:20,1
SAR #1,12:30:00 PM,0:06:33,1
SR #1,12:31:00 PM,0:07:54,1
FAR #2,12:34:00 PM,0:10:20,1
SAR #2,12:35:00 PM,0:11:45,1
SR #2,12:37:00 PM,0:13:06,1
FAR #3,12:40:00 PM,0:16:08,1
SAR #3,12:41:00 PM,0:17:34,1
SR #3,12:43:00 PM,0:19:08,1
survey,12:45:00 PM,0:21:50,1
range of motion,12:49:00 PM,,
